TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,UnManned,Level,Flag
67,1,48.013656,-102.998881,999,-1,1,-1,true,1,-1
67,1,48.013656,-102.998881,999,-1,1,-1,true,1,-1
68,1,48.013656,-102.9986397,999,-1,1,-1,true,1,-1
68,1,48.013656,-102.9986397,999,-1,1,-1,true,1,-1
69,1,48.013656,-102.9983984,999,-1,1,-1,true,1,-1
69,1,48.013656,-102.9983984,999,-1,1,-1,true,1,-1
70,1,48.013656,-102.9981572,999,-1,1,-1,true,1,-1
70,1,48.013656,-102.9981572,999,-1,1,-1,true,1,-1
71,1,48.013656,-102.9979159,999,-1,1,-1,true,1,-1
71,1,48.013656,-102.9979159,999,-1,1,-1,true,1,-1
72,1,48.013656,-102.9976746,999,-1,1,-1,true,1,-1
72,1,48.013656,-102.9976746,999,-1,1,-1,true,1,-1
73,1,48.013656,-102.9974333,999,-1,1,-1,true,1,-1
73,1,48.013656,-102.9974333,999,-1,1,-1,true,1,-1
74,1,48.013656,-102.9971921,999,-1,1,-1,true,1,-1
74,1,48.013656,-102.9971921,999,-1,1,-1,true,1,-1
75,1,48.013656,-102.9969508,999,-1,1,-1,true,1,-1
75,1,48.013656,-102.9969508,999,-1,1,-1,true,1,-1
76,1,48.013656,-102.9967095,999,-1,1,-1,true,1,-1
76,1,48.013656,-102.9967095,999,-1,1,-1,true,1,-1
77,1,48.013656,-102.9964683,999,-1,1,-1,true,1,-1
77,1,48.013656,-102.9964683,999,-1,1,-1,true,1,-1
78,1,48.013656,-102.996227,999,-1,1,-1,true,1,-1
78,1,48.013656,-102.996227,999,-1,1,-1,true,1,-1
79,1,48.013656,-102.9959857,999,-1,1,-1,true,1,-1
79,1,48.013656,-102.9959857,999,-1,1,-1,true,1,-1
80,1,48.013656,-102.9957445,999,-1,1,-1,true,1,-1
80,1,48.013656,-102.9957445,999,-1,1,-1,true,1,-1
81,1,48.013656,-102.9955032,999,-1,1,-1,true,1,-1
81,1,48.013656,-102.9955032,999,-1,1,-1,true,1,-1
82,1,48.013656,-102.9952619,999,-1,1,-1,true,1,-1
82,1,48.013656,-102.9952619,999,-1,1,-1,true,1,-1
83,1,48.013656,-102.9950207,999,-1,1,-1,true,1,-1
83,1,48.013656,-102.9950207,999,-1,1,-1,true,1,-1
84,1,48.013656,-102.9947794,999,-1,1,-1,true,1,-1
84,1,48.013656,-102.9947794,999,-1,1,-1,true,1,-1
85,1,48.013656,-102.9945381,999,-1,1,-1,true,1,-1
85,1,48.013656,-102.9945381,999,-1,1,-1,true,1,-1
86,1,48.013656,-102.9942969,999,-1,1,-1,true,1,-1
86,1,48.013656,-102.9942969,999,-1,1,-1,true,1,-1
87,1,48.013656,-102.9940556,999,-1,1,-1,true,1,-1
87,1,48.013656,-102.9940556,999,-1,1,-1,true,1,-1
88,1,48.013656,-102.9938143,999,-1,1,-1,true,1,-1
88,1,48.013656,-102.9938143,999,-1,1,-1,true,1,-1
89,1,48.013656,-102.993573,999,-1,1,-1,true,1,-1
89,1,48.013656,-102.993573,999,-1,1,-1,true,1,-1
90,1,48.013656,-102.9933318,999,-1,1,-1,true,1,-1
90,1,48.013656,-102.9933318,999,-1,1,-1,true,1,-1
91,1,48.013656,-102.9930905,999,-1,1,-1,true,1,-1
91,1,48.013656,-102.9930905,999,-1,1,-1,true,1,-1
92,1,48.013656,-102.9928492,999,-1,1,-1,true,1,-1
92,1,48.013656,-102.9928492,999,-1,1,-1,true,1,-1
93,1,48.013656,-102.992608,999,-1,1,-1,true,1,-1
93,1,48.013656,-102.992608,999,-1,1,-1,true,1,-1
94,1,48.013656,-102.9923667,999,-1,1,-1,true,1,-1
94,1,48.013656,-102.9923667,999,-1,1,-1,true,1,-1
95,1,48.013656,-102.9921254,999,-1,1,-1,true,1,-1
95,1,48.013656,-102.9921254,999,-1,1,-1,true,1,-1
96,1,48.013656,-102.9918842,999,-1,1,-1,true,1,-1
96,1,48.013656,-102.9918842,999,-1,1,-1,true,1,-1
97,1,48.013656,-102.9916429,999,-1,1,-1,true,1,-1
97,1,48.013656,-102.9916429,999,-1,1,-1,true,1,-1
98,1,48.013656,-102.9914016,999,-1,1,-1,true,1,-1
98,1,48.013656,-102.9914016,999,-1,1,-1,true,1,-1
99,1,48.0136559,-102.9911604,999,-1,1,-1,true,1,-1
99,1,48.0136559,-102.9911604,999,-1,1,-1,true,1,-1
100,1,48.0136559,-102.9909191,999,-1,1,-1,true,1,-1
100,1,48.0136559,-102.9909191,999,-1,1,-1,true,1,-1
101,1,48.0136559,-102.9906778,999,-1,1,-1,true,1,-1
101,1,48.0136559,-102.9906778,999,-1,1,-1,true,1,-1
102,1,48.0136559,-102.9904366,999,-1,1,-1,true,1,-1
102,1,48.0136559,-102.9904366,999,-1,1,-1,true,1,-1
103,1,48.0136559,-102.9901953,999,-1,1,-1,true,1,-1
103,1,48.0136559,-102.9901953,999,-1,1,-1,true,1,-1
104,1,48.0136559,-102.989954,999,-1,1,-1,true,1,-1
104,1,48.0136559,-102.989954,999,-1,1,-1,true,1,-1
105,1,48.0136559,-102.9897128,999,-1,1,-1,true,1,-1
105,1,48.0136559,-102.9897128,999,-1,1,-1,true,1,-1
106,1,48.0136559,-102.9894715,999,-1,1,-1,true,1,-1
106,1,48.0136559,-102.9894715,999,-1,1,-1,true,1,-1
107,1,48.0136559,-102.9892302,999,-1,1,-1,true,1,-1
107,1,48.0136559,-102.9892302,999,-1,1,-1,true,1,-1
108,1,48.0136559,-102.9889889,999,-1,1,-1,true,1,-1
108,1,48.0136559,-102.9889889,999,-1,1,-1,true,1,-1
109,1,48.0136559,-102.9887477,999,-1,1,-1,true,1,-1
