Time_Step,UAV_ID,X_Distance,Y_Distance,Signal_strength,Current_Basestation,Finished,SINR,Unmanned,Level,Flag
32,1,32028.065170564765,8570.953832602156,999,-1,1,4,true,1,-1
32,1,32028.065170564765,8570.953832602156,999,-1,1,4,true,1,-1
33,1,32046.091911870626,8570.953804431487,999,-1,1,4,true,1,-1
33,1,32046.091911870626,8570.953804431487,999,-1,1,4,true,1,-1
34,1,32064.118653098165,8570.953776261527,999,-1,1,4,true,1,-1
34,1,32064.118653098165,8570.953776261527,999,-1,1,4,true,1,-1
35,1,32082.14539424736,8570.953748092274,999,-1,1,4,true,1,-1
35,1,32082.14539424736,8570.953748092274,999,-1,1,4,true,1,-1
36,1,32100.172135317112,8570.953719922667,999,-1,1,4,true,1,-1
36,1,32100.172135317112,8570.953719922667,999,-1,1,4,true,1,-1
37,1,32118.19887630845,8570.953691753766,999,-1,1,2,true,1,-1
37,1,32118.19887630845,8570.953691753766,999,-1,1,2,true,1,-1
38,1,32136.22561722129,8570.953663584865,999,-1,1,4,true,1,-1
38,1,32136.22561722129,8570.953663584865,999,-1,1,4,true,1,-1
39,1,32154.25235805563,8570.953635414906,999,-1,1,4,true,1,-1
39,1,32154.25235805563,8570.953635414906,999,-1,1,4,true,1,-1
40,1,32172.27909881139,8570.953607244594,999,-1,1,4,true,1,-1
40,1,32172.27909881139,8570.953607244594,999,-1,1,4,true,1,-1
41,1,32190.30583948857,8570.953579074983,999,-1,1,4,true,1,-1
41,1,32190.30583948857,8570.953579074983,999,-1,1,4,true,1,-1
42,1,32208.33258008706,8570.953550905026,999,-1,1,4,true,1,-1
42,1,32208.33258008706,8570.953550905026,999,-1,1,4,true,1,-1
43,1,32226.35932060687,8570.953522735772,999,-1,1,2,true,1,-1
43,1,32226.35932060687,8570.953522735772,999,-1,1,2,true,1,-1
44,1,32244.386061047964,8570.953494566877,999,-1,1,4,true,1,-1
44,1,32244.386061047964,8570.953494566877,999,-1,1,4,true,1,-1
45,1,32262.412801410257,8570.953466396913,999,-1,1,4,true,1,-1
45,1,32262.412801410257,8570.953466396913,999,-1,1,4,true,1,-1
46,1,32280.439541693715,8570.953438226956,999,-1,1,4,true,1,-1
46,1,32280.439541693715,8570.953438226956,999,-1,1,4,true,1,-1
