TimeStep,ID,Latitude,Longitude,finished,level
113,0,47.977587,-102.898074,1,1
114,0,47.977582,-102.895718,1,1
115,0,47.977576,-102.89445,1,1
116,0,47.977589,-102.893854,1,1
117,0,47.977579,-102.891397,1,1
118,0,47.977576,-102.890286,1,1
119,0,47.977572,-102.888125,1,1
120,0,47.977577,-102.887478,1,1
121,0,47.977577,-102.885687,1,1
122,0,47.977576,-102.883576,1,1
123,0,47.977584,-102.882106,1,1
124,0,47.97757,-102.880069,1,1
125,0,47.977577,-102.879324,1,1
126,0,47.977584,-102.87859,1,1
127,0,47.977584,-102.87796,1,1
128,0,47.977579,-102.876746,1,1
129,0,47.977949,-102.87676,1,1
130,0,47.979027,-102.87675,1,1
131,0,47.979904,-102.876723,1,1
132,0,47.980974,-102.876732,1,1
133,0,47.984122,-102.876725,1,1
134,0,47.984828,-102.876737,1,1
135,0,47.984921,-102.876736,1,1
136,0,47.985708,-102.87673,1,1
137,0,47.986372,-102.876738,1,1
138,0,47.988451,-102.876731,1,1
139,0,47.989203,-102.876724,1,1
140,0,47.989561,-102.876721,1,1
141,0,47.991141,-102.876717,1,1
142,0,47.991587,-102.876699,1,1
143,0,47.992051,-102.876739,-1,1
365,2,47.964272,-102.962922,1,1
366,2,47.965161,-102.9629,1,1
367,2,47.967096,-102.962927,1,1
368,2,47.9704,-102.962927,1,1
369,2,47.971654,-102.962904,1,1
370,2,47.973101,-102.962912,1,1
371,2,47.974269,-102.962905,1,1
372,2,47.97501,-102.962915,1,1
373,2,47.975916,-102.962892,1,1
374,2,47.976596,-102.962891,1,1
375,2,47.977136,-102.9629,1,1
376,2,47.977629,-102.962864,1,1
377,2,47.980187,-102.962918,1,1
378,2,47.982331,-102.962925,1,1
379,2,47.984963,-102.962899,1,1
380,2,47.98702,-102.962883,1,1
381,2,47.99211,-102.962904,1,1
382,2,47.99353,-102.962887,1,1
383,2,47.994768,-102.962903,1,1
384,2,47.995927,-102.962883,1,1
385,2,47.997295,-102.962881,1,1
386,2,47.998525,-102.962911,1,1
387,2,47.999396,-102.962897,1,1
388,2,48.000841,-102.962884,1,1
389,2,48.001601,-102.962893,1,1
390,2,48.003885,-102.962894,1,1
391,2,48.006546,-102.962872,1,1
392,2,48.006528,-102.964885,1,1
393,2,48.006528,-102.966522,1,1
394,2,48.006534,-102.967835,1,1
395,2,48.006547,-102.969252,1,1
396,2,48.006548,-102.97032,1,1
397,2,48.006577,-102.972971,1,1
398,2,48.006567,-102.974022,1,1
399,2,48.006574,-102.976463,1,1
400,2,48.0065639,-102.9768929,1,1
401,2,48.006554,-102.977313,1,1
402,2,48.006559,-102.977917,1,1
403,2,48.006557,-102.978792,1,1
404,2,48.006586,-102.979815,1,1
405,2,48.006618,-102.98096,1,1
406,2,48.006615,-102.981792,1,1
407,2,48.006607,-102.982344,1,1
408,2,48.006596,-102.982686,1,1
409,2,48.006575,-102.983159,1,1
410,2,48.006561,-102.983387,1,1
411,2,48.006576,-102.984253,1,1
412,2,48.006563,-102.985514,1,1
413,2,48.006543,-102.987396,1,1
414,2,48.006536,-102.989349,1,1
415,2,48.006547,-102.989978,1,1
416,2,48.00654,-102.990906,1,1
417,2,48.006557,-102.994391,1,1
418,2,48.006575,-102.9959,1,1
419,2,48.006577,-102.998401,1,1
420,2,48.006577,-103.003635,1,1
421,2,48.006563,-103.006748,-1,1
570,3,47.96461,-102.919879,1,1
571,3,47.965464,-102.919884,1,1
572,3,47.967364,-102.919885,1,1
573,3,47.968836,-102.919869,1,1
574,3,47.970187,-102.919863,1,1
575,3,47.972414,-102.919878,1,1
576,3,47.9737,-102.919877,1,1
577,3,47.975094,-102.91986,1,1
578,3,47.976271,-102.919891,1,1
579,3,47.977395,-102.919871,1,1
580,3,47.977611,-102.919872,1,1
581,3,47.978973,-102.919873,1,1
